date,open,high,low,close,volume
2021-12-28 09:00:00,23.013,23.017,20.334,20.343,2647606.3999999999
2021-12-29 09:00:00,20.343,20.955,19.517,19.717,1762463.8999999999
2021-12-30 09:00:00,19.717,20.417,19.164,19.939,1063514.6000000001
2021-12-31 09:00:00,19.939,20.622,19.034,19.512,1059476.2
2022-01-01 09:00:00,19.512,20.773,19.512,20.749,616039.7
2022-01-02 09:00:00,20.749,22.18,20.572,21.856,1162320.5
2022-01-03 09:00:00,21.856,23.733,21.251,23.682,2242955.3999999999
2022-01-04 09:00:00,23.682,24.463,22.788,23.428,2512846.5
2022-01-05 09:00:00,23.428,27.427,22.352,25.192,8657192.6999999993
2022-01-06 09:00:00,25.192,25.963,23.333,25.379,5029673.5
2022-01-07 09:00:00,25.379,27.318,22.652,25.96,5698274.2000000002
2022-01-08 09:00:00,25.96,27.316,23.549,25.332,4172586.5
2022-01-09 09:00:00,25.332,28.706,25.037,27.501,5036539.9000000004
2022-01-10 09:00:00,27.501,28.586,25.111,27.962,5412813.2999999998
2022-01-11 09:00:00,27.962,28.681,25.883,26.61,3042914.2999999998
2022-01-12 09:00:00,26.61,27.245,25.6,26.755,2170268.6000000001
2022-01-13 09:00:00,26.755,26.756,24.434,24.863,1880310.2
2022-01-14 09:00:00,24.863,25.868,23.877,25.71,1318718.3
2022-01-15 09:00:00,25.71,26.196,25.052,25.17,1027261.3
2022-01-16 09:00:00,25.17,26.331,24.585,25.483,958223.5
2022-01-17 09:00:00,25.483,25.631,23.271,23.785,1113801.8999999999
2022-01-18 09:00:00,23.785,24.338,22.053,22.977,1286146
2022-01-19 09:00:00,22.977,23.146,21.224,21.541,1351648.3999999999
2022-01-20 09:00:00,21.541,22.962,20.036,20.192,1136684.2
2022-01-21 09:00:00,20.192,20.504,17.071,17.409,3458025.1000000001
2022-01-22 09:00:00,17.409,17.81,14.153,15.866,4304350.4000000004
2022-01-23 09:00:00,15.866,16.87,15.155,16.64,2007606.3999999999
2022-01-24 09:00:00,16.64,16.64,13.458,15.575,3356938.1000000001
2022-01-25 09:00:00,15.575,16.01,14.584,15.467,1327033.3999999999
2022-01-26 09:00:00,15.467,16.795,14.67,15.205,2166871.8999999999
2022-01-27 09:00:00,15.205,15.707,14.289,15.224,1291306.5
2022-01-28 09:00:00,15.224,16.27,14.74,16.137,1036526.9
2022-01-29 09:00:00,16.137,16.746,15.951,16.207,1024718
2022-01-30 09:00:00,16.207,18.131,16.01,17.774,1582832.3
2022-01-31 09:00:00,17.774,17.87,16.459,17.163,1677623.8999999999
2022-02-01 09:00:00,17.163,17.889,16.81,16.99,1108337.6000000001
2022-02-02 09:00:00,16.99,17.372,15.534,15.767,968155.8
2022-02-03 09:00:00,15.767,16.32,15.247,16.302,859743
2022-02-04 09:00:00,16.302,17.533,16.003,17.51,872005.2
2022-02-05 09:00:00,17.51,18.314,17.42,17.763,924445.8
